iter	RMSE
0	4061310.258
1	3938996.32
2	3830603.651
3	3732235.395
4	3643388.005
5	3565938.965
6	3496121.427
7	3432970.498
8	3372957.269
9	3319413.499
10	3274143.889
11	3234465.997
12	3195228.602
13	3162583.66
14	3131149.246
15	3103455.763
16	3079586.909
17	3057414.582
18	3038973.072
19	3022925.084
20	3006441.321
21	2990200.481
22	2975619.327
23	2962794.656
24	2951068.441
25	2940761.527
26	2931581.161
27	2921605.926
28	2912587.264
29	2905176.227
30	2897259.809
31	2890219.271
32	2884514.948
33	2878340.832
34	2872449.31
35	2867333.241
36	2863021.202
37	2858424.134
38	2853293.389
39	2849445.578
40	2845615.253
41	2842023.774
42	2838174.839
43	2834439.297
44	2830771.679
45	2827485.767
46	2823655.474
47	2820730.776
48	2817931.785
49	2815004.569
50	2812664.118
51	2809813.262
52	2807465.474
53	2804703.871
54	2802562.999
55	2800617.017
56	2798256.074
57	2795385.42
58	2792459.173
59	2789987.981
60	2787744.581
61	2785555.948
62	2783296.081
63	2781807.84
64	2780059.922
65	2778656.105
66	2776890.474
67	2774960.207
68	2773517.37
69	2771398.114
70	2769553.017
71	2767803.155
72	2766339.548
73	2764900.168
74	2763814.266
75	2762394.606
76	2760430.292
77	2756762.576
78	2752809.177
79	2749530.919
80	2747132.799
81	2745866.941
82	2744844.754
83	2743582.54
84	2742545.478
85	2741144.986
86	2739686.083
87	2736562.569
88	2735652.93
89	2733870.146
90	2731881.542
91	2730765.017
92	2729033.36
93	2727654.802
94	2726510.697
95	2725030.867
96	2724225.618
97	2723132.85
98	2722466.477
99	2719749.76
100	2717707.303
101	2717202.521
102	2716386.771
103	2714675.159
104	2713169.895
105	2710552.544
106	2708917.156
107	2708204.834
108	2706151.809
109	2701294.204
110	2699315.723
111	2698813.289
112	2697661.178
113	2696725.139
114	2695298.866
115	2693870.16
116	2692179.829
117	2691097.716
118	2690594.081
119	2689955.38
120	2688458.698
121	2687108.483
122	2686165.377
123	2684939.92
124	2679427.38
125	2678703.742
126	2677723.168
127	2676671.156
128	2674894.924
129	2671195.29
130	2669531.381
131	2668808.587
132	2667434.364
133	2666714.615
134	2665706.278
135	2664622.384
136	2663537.953
137	2662528.397
138	2661536.68
139	2660302.009
140	2659507.129
141	2658085.452
142	2657022.531
143	2655137.036
144	2653075.202
145	2650918.127
146	2648437.927
147	2647861.389
148	2646926.579
149	2646050.479
150	2645474.405
151	2642944.467
152	2642009.41
153	2640910.638
154	2639034.834
155	2637532.546
156	2634858.835
157	2634084.847
158	2633019.341
159	2632104.745
160	2631328.086
161	2630212.31
162	2628010.331
163	2627302.507
164	2626490.937
165	2624319.932
166	2623704.594
167	2622043.88
168	2621311.791
169	2620018.623
170	2619304.307
171	2618393.085
172	2616893.414
173	2615120.032
174	2614388.925
175	2613554.724
176	2612240.736
177	2611339.499
178	2610396.588
179	2608770.019
180	2608013.024
181	2607366.995
182	2606444.983
183	2604976.802
184	2604200.562
185	2602953.228
186	2601429.333
187	2600191.012
188	2598404.534
189	2596670.405
190	2595615.032
191	2590952.552
192	2589480.049
193	2588341.255
194	2587194.044
195	2585678.26
196	2584569.207
197	2583321.141
198	2581981.378
199	2581511.206
200	2580692.583
201	2579740.075
202	2575735.848
203	2574718.293
204	2572942.783
205	2571692.808
206	2570354.485
207	2569681.109
208	2568309.622
209	2567758.951
210	2566952.895
211	2565756.396
212	2564723.452
213	2563095.453
214	2559990.187
215	2559074.152
216	2558271.732
217	2554462.12
218	2553857.014
219	2552221.358
220	2551105.066
221	2550307.103
222	2546717.085
223	2545404.295
224	2544511.45
225	2543792.165
226	2543195.712
227	2542307.666
228	2541471.95
229	2540339.537
230	2539673.561
231	2539202.228
232	2537933.14
233	2537242.913
234	2536507.596
235	2535952.053
236	2533005.127
237	2531918.249
238	2531222.469
239	2530654.154
240	2528437.368
241	2527161.783
242	2526519.905
243	2525865.128
244	2524956.288
245	2524382.661
246	2523275.926
247	2522896.728
248	2521875.435
249	2521155.21
250	2520665.081
251	2520232.852
252	2519264.79
253	2518340.422
254	2517769.773
255	2514438.159
256	2513555.244
257	2512612.461
258	2511979.854
259	2510680.828
260	2508719.402
261	2508177.443
262	2507601.821
263	2506729.347
264	2506300.17
265	2505146.242
266	2504125.252
267	2502959.763
268	2502380.429
269	2501580.486
270	2500937.072
271	2499960.472
272	2499345.565
273	2498747.201
274	2497681.729
275	2496532.842
276	2495608.742
277	2495201.023
278	2494808.155
279	2493921.152
280	2491016.579
281	2490475.887
282	2489900.796
283	2488477.343
284	2486961.476
285	2486115.953
286	2485561.284
287	2484785.507
288	2484310.15
289	2482875.494
290	2480971.65
291	2479618.695
292	2479155.738
293	2478236.891
294	2477754.847
295	2476778.535
296	2475910.848
297	2475420.782
298	2474881.33
299	2474274.241
300	2473506.886
301	2470792.371
302	2470483.743
303	2469205.028
304	2468167.5
305	2465318.209
306	2465020.126
307	2464197.431
308	2463794.797
309	2463103.077
310	2462757.843
311	2461749.634
312	2459711.793
313	2458960.626
314	2458684.555
315	2458445.373
316	2457734.475
317	2457394.663
318	2455666.118
319	2455266.274
320	2454801.035
321	2453778.123
322	2452677.104
323	2452304.161
324	2451763.694
325	2451515.377
326	2450313.226
327	2449345.683
328	2448357.387
329	2447925.859
330	2447372.702
331	2446148.161
332	2445118.95
333	2443369.78
334	2442501.933
335	2442109.307
336	2440565.438
337	2440178.97
338	2439599.117
339	2439383.886
340	2436672.568
341	2436434.27
342	2435667.808
343	2435430.317
344	2434845.395
345	2434177.671
346	2433353.739
347	2432811.066
348	2431902.613
349	2431475.385
350	2430953.957
351	2430512.436
352	2429306.597
353	2426405.833
354	2426208.908
355	2424894.119
356	2423059.802
357	2422690.669
358	2422028.915
359	2421578.729
360	2421246.393
361	2420587.422
362	2420061.298
