iter	Passed	Remaining
0	8	10398
1	15	9554
2	24	9781
3	33	9932
4	41	9941
5	49	9899
6	57	9855
7	64	9590
8	71	9434
9	80	9616
10	88	9573
11	97	9645
12	105	9607
13	113	9614
14	120	9503
15	128	9533
16	134	9370
17	142	9335
18	149	9269
19	156	9225
20	164	9220
21	171	9180
22	178	9159
23	186	9139
24	195	9176
25	201	9106
26	209	9109
27	217	9095
28	227	9175
29	234	9153
30	243	9185
31	252	9222
32	260	9208
33	267	9176
34	276	9211
35	286	9261
36	294	9260
37	303	9269
38	310	9232
39	318	9243
40	325	9202
41	332	9167
42	341	9182
43	351	9224
44	359	9233
45	368	9233
46	376	9229
47	384	9234
48	391	9188
49	397	9144
50	405	9137
51	410	9073
52	418	9058
53	426	9046
54	432	9010
55	439	8984
56	445	8935
57	453	8928
58	460	8904
59	467	8886
60	473	8847
61	479	8801
62	486	8777
63	492	8742
64	499	8721
65	506	8694
66	511	8654
67	519	8644
68	525	8619
69	533	8607
70	539	8582
71	545	8547
72	552	8530
73	558	8490
74	565	8476
75	572	8465
76	579	8448
77	585	8425
78	591	8397
79	599	8394
80	606	8383
81	613	8369
82	620	8352
83	626	8321
84	634	8321
85	640	8298
86	648	8301
87	654	8275
88	661	8261
89	667	8235
90	674	8217
91	681	8211
92	687	8184
93	694	8173
94	700	8142
95	706	8120
96	713	8115
97	719	8090
98	725	8068
99	731	8047
100	736	8019
101	743	7998
102	748	7977
103	755	7957
104	762	7955
105	768	7930
106	774	7913
107	780	7891
108	786	7876
109	793	7863
110	799	7840
111	804	7816
112	810	7799
113	816	7776
114	823	7765
115	831	7765
116	837	7756
117	844	7746
118	852	7743
119	859	7733
120	864	7712
121	871	7697
122	877	7681
123	882	7660
124	889	7648
125	895	7629
126	900	7608
127	907	7601
128	914	7590
129	920	7578
130	927	7569
131	932	7547
132	939	7536
133	945	7522
134	951	7509
135	958	7496
136	963	7478
137	969	7462
138	975	7443
139	981	7432
140	988	7423
141	995	7416
142	1003	7414
143	1010	7407
144	1016	7396
145	1023	7386
146	1029	7371
147	1035	7357
148	1041	7346
149	1048	7337
150	1056	7342
151	1063	7333
152	1071	7333
153	1078	7322
154	1085	7318
155	1092	7309
156	1097	7292
157	1103	7277
158	1109	7262
159	1115	7250
160	1122	7243
161	1128	7229
162	1135	7227
163	1143	7224
164	1149	7211
165	1155	7195
166	1161	7181
167	1166	7167
168	1172	7153
169	1178	7138
170	1184	7129
171	1192	7126
172	1200	7124
173	1209	7130
174	1216	7127
175	1224	7124
176	1232	7124
177	1239	7113
178	1245	7104
179	1252	7099
180	1259	7088
181	1264	7075
182	1270	7061
183	1276	7046
184	1282	7038
185	1288	7025
186	1294	7015
187	1302	7011
188	1308	6999
189	1314	6989
190	1322	6984
191	1328	6976
192	1337	6976
193	1343	6965
194	1349	6953
195	1354	6940
196	1361	6930
197	1366	6916
198	1372	6904
199	1378	6893
200	1385	6883
201	1392	6877
202	1398	6870
203	1406	6866
204	1414	6863
205	1420	6854
206	1428	6854
207	1436	6852
208	1443	6842
209	1449	6834
210	1456	6827
211	1464	6824
212	1470	6813
213	1477	6809
214	1485	6803
215	1492	6798
216	1499	6792
217	1505	6782
218	1513	6778
219	1521	6775
220	1529	6776
221	1536	6769
222	1546	6776
223	1554	6774
224	1561	6767
225	1568	6761
226	1576	6755
227	1582	6746
228	1588	6736
229	1594	6724
230	1600	6713
231	1606	6702
232	1613	6694
233	1619	6686
234	1626	6678
235	1632	6667
236	1638	6655
237	1645	6651
238	1650	6638
239	1656	6627
240	1662	6616
241	1669	6607
242	1675	6598
243	1681	6588
244	1688	6580
245	1693	6568
246	1699	6557
247	1705	6548
248	1711	6535
249	1717	6527
250	1724	6521
251	1731	6513
252	1739	6510
253	1745	6502
254	1752	6494
255	1759	6488
256	1766	6480
257	1771	6469
258	1778	6461
259	1784	6452
260	1790	6442
261	1796	6433
262	1803	6424
263	1808	6412
264	1813	6400
265	1821	6395
266	1828	6388
267	1834	6381
268	1841	6372
269	1849	6370
270	1858	6370
271	1868	6375
272	1875	6369
273	1883	6366
274	1891	6361
275	1897	6352
276	1903	6344
277	1909	6332
278	1915	6324
279	1921	6312
280	1927	6302
281	1934	6296
282	1941	6290
283	1947	6282
284	1955	6277
285	1961	6268
286	1969	6266
287	1975	6257
288	1982	6248
289	1989	6243
290	1996	6235
291	2002	6227
292	2007	6215
293	2014	6206
294	2020	6198
295	2026	6189
296	2032	6180
297	2038	6171
298	2044	6161
299	2050	6151
300	2056	6141
301	2062	6133
302	2069	6125
303	2076	6119
304	2082	6110
305	2089	6103
306	2095	6096
307	2101	6086
308	2107	6076
309	2113	6067
310	2118	6056
311	2125	6049
312	2131	6040
313	2138	6035
314	2146	6030
315	2153	6023
316	2160	6018
317	2168	6013
318	2175	6008
319	2181	5999
320	2187	5989
321	2193	5981
322	2199	5971
323	2204	5960
324	2212	5957
325	2218	5948
326	2225	5940
327	2230	5930
328	2236	5920
329	2243	5915
330	2250	5907
331	2256	5899
332	2262	5891
333	2268	5882
334	2275	5876
335	2282	5868
336	2288	5859
337	2293	5849
338	2299	5840
339	2305	5831
340	2311	5823
341	2317	5813
342	2323	5805
343	2329	5796
344	2337	5791
345	2342	5782
346	2349	5775
347	2356	5768
348	2362	5761
349	2368	5752
350	2374	5744
351	2381	5736
352	2387	5729
353	2395	5724
